"UID","ID_MasonryNumber","ID_Trench","ID_Context","ID_Building","ID_Room","Location_X","Location_Y","Location_Address","Location_Grid","Mesure_Facing","Mesure_MaxH","Mesure_LowestH","Mesure_Length","Measure_WidthMax","Measure_WidthMed","Measure_WidthMin","Mesure_BedMax","Mesure_HeaderMax","Mesure_StretcherMax","Mesure_BedMed","Mesure_HeaderMed","Mesure_StretcherMed","Mesure_BedMin","Mesure_HeaderMin","Mesure_StretcherMin","Material_Type","Material_Finish","Coursing_Height","Coursing_Type","Coursing_Description","Bonding_Description","Record_Notes","Harris_EqualWith","Harris_EarlierThan","Harris_ContemporaryWith","Harris_LaterThan","Harris_EqualWith_List","Harris_EarlierThan_List","Harris_ContemporaryWith_List","Harris_LaterThan_List","Samples_Single","Samples_Bulk","Samples_WorkedStonesSpecial","Samples_WorkedStonesRegular","Created_Date","Edit_LastEdit","Samples_WorkedStonesSpecial_List","Samples_WorkedStonesRegular_List"
55,1.00,,,1.00,"	",353409.18,177552.70,"353,409.18E 177,552.70N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.","7","7","7","7",,,,,0,0,"	","	",16/03/2021 00:00:00,"AdminEDIT ON 31/03/2021 10:24:32 BY Admin; ",,"5"
56,2.00,,,1.00,"
",353405.79,177554.48,"353,405.79E 177,554.48N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.","8","8","8","8",,,,,0,0,"
","
",16/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:39 BY Admin; ",,
57,3.00,,,1.00,"",353405.37,177558.63,"353,405.37E 177,558.63N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.","9","9","9","9",,,,,0,0,"","",16/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:39 BY Admin; ",,
58,4.00,,,1.00,"",353408.01,177559.59,"353,408.01E 177,559.59N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.",":",":",":",":",,,,,0,0,"","",16/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:39 BY Admin; ",,
1,5.00,,,1.00,"p",353410.68,177556.68,"Baulk in R.11

353,410.68E 177,556.68N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.","p","p","p","p",,,,,0,0,"p","p",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:39 BY Admin; ",,
2,6.00,,,1.00,"q",353408.86,177561.33,"353,408.86E 177,561.33N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.","q","q","q","q",,,,,0,0,"q","q",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:39 BY Admin; ",,
3,7.00,,,1.00,"r",353405.83,177557.87,"Baulk in R.11

353,405.83E 177,557.87N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","r","r","r","r",,,,,0,0,"r","r",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:00:56 BY Admin; ",,
4,8.00,,,1.00,"s",353407.09,177557.73,"Baulk in R.11
353,407.09E 177,557.73N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","s","s","s","s",,,,,0,0,"s","s",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:00:58 BY Admin; ",,
5,9.00,,,1.00,"Å",353406.90,177557.02,"Baulk in R.11
353,406.90E 177,557.02N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","Å","Å","Å","Å",,,,,0,0,"Å","Å",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:00 BY Admin; ",,
6,10.00,,,1.00,"?",353406.84,177556.41,"Baulk in R.11

353,406.84E 177,556.41N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:00 BY Admin; ",,
7,11.00,,,1.00,"?",353406.55,177555.60,"Baulk in R.11
353,406.55E 177,555.60N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:09 BY Admin; ",,
8,12.00,,,1.00,"?",353406.75,177555.22,"Baulk in R.11
353,406.75E 177,555.22N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:09 BY Admin; ",,
9,13.00,,,1.00,"?",353407.46,177554.89,"Baulk in R.11
353,407.46E 177,554.89N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:09 BY Admin; ",,
10,14.00,,,1.00,"?",353407.97,177554.48,"353,407.97E 177,554.48N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:09 BY Admin; ",,
11,15.00,,,1.00,"?",353408.53,177553.85,"Baulk in R.11
353,408.53E 177,553.85N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
12,16.00,,,1.00,"?",353409.40,177556.29,"353,409.40E 177,556.29N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
13,17.00,,,1.00,"?",353409.11,177555.53,"353,409.11E 177,555.53N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
14,18.00,,,1.00,"?",353408.93,177554.90,"353,408.93E 177,554.90N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
15,19.00,,,1.00,"?",353408.77,177554.12,"353,408.77E 177,554.12N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
16,20.00,,,1.00,"ç",353410.35,177555.11,"353,410.35E 177,555.11N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","ç","ç","ç","ç",,,,,0,0,"ç","ç",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
17,21.00,,,1.00,"?",353408.07,177558.78,"353,408.07E 177,558.78N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
18,22.00,,,1.00,"è",353409.26,177558.02,"353,409.26E 177,558.02N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","è","è","è","è",,,,,0,0,"è","è",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:18 BY Admin; ",,
19,23.00,,,1.00,"ê",353409.30,177556.61,"353,409.30E 177,556.61N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","ê","ê","ê","ê",,,,,0,0,"ê","ê",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:27 BY Admin; ",,
20,24.00,,,1.00,"?",353408.63,177556.99,"353,408.63E 177,556.99N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:27 BY Admin; ",,
21,25.00,,,1.00,"?",353408.15,177557.37,"353,408.15E 177,557.37N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:27 BY Admin; ",,
22,26.00,,,1.00,"?",353407.52,177557.90,"353,407.52E 177,557.90N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE",,,"RUBBLE; ROUGHLY SQUARED; UNEVEN COURSING","Core is composed of rubble and crushed tile.","Thinner conglomerate of mortar.","Coursing roughly brought to occassional courses. Masonry far wider and lengthyer with occassionaly large blocks.","?","?","?","?",,,,,0,0,"?","?",19/03/2021 00:00:00,"EDIT ON 19/03/2021 16:01:27 BY Admin; ",,
59,27.00,,,1.00,"",353410.03,177553.70,"353,410.03E 177,553.70N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.",";",";",";",";",,,,,0,0,"","",16/03/2021 00:00:00,"EDIT ON 19/03/2021 16:00:19 BY Admin; ",,
60,28.00,,,1.00,"",353408.10,177552.86,"353,408.10E 177,552.86N m",,,,,,0.00,,,,,,,,,,,,"SANDSTONE; BRECCIA; CARBONIFEROUS LIMESTONE","Roughly dressed, hammar dressed (Boon suggests in-situ).",,"RUBBLE; ROUGHLY SQUARED; RANDOM COURSING","Core is composed of rubble and crushed tile.","Thick conglomarate of mortar.","Foundations of the structure are noted to be laid in regualr courses of squared blocks in a herringbone pattern. These are arround 0.75m (30"") in width and 1.00m (3-4') wide. This is offset from the wall by 0.05m on either side.","<","<","<","<",,,,,0,0,"","",16/03/2021 00:00:00,"EDIT ON 19/03/2021 16:00:19 BY Admin; ",,
